age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19774,yes,no,no
46,female,2,Facebook,Travel,United Kingdom,Urban,Student,10564,yes,yes,yes
32,male,8,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,13258,no,no,no
60,non-binary,5,Instagram,Travel,United Kingdom,Urban,Student,12500,no,yes,no
25,male,1,Instagram,Lifestlye,Australia,Urban,Software Engineer,14566,no,yes,yes
38,male,3,Facebook,Travel,United States,Urban,Marketer Manager,19179,yes,yes,yes
56,male,8,YouTube,Sports,United States,Urban,Student,16881,yes,yes,yes
36,male,4,Instagram,Sports,Australia,Urban,Marketer Manager,13636,yes,no,yes
40,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16030,no,no,yes
28,non-binary,2,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10223,yes,no,yes
28,female,7,YouTube,Lifestlye,United Kingdom,Urban,Student,16297,yes,yes,no
41,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,10350,no,no,no
53,non-binary,5,Facebook,Sports,Australia,Rural,Student,17314,no,yes,yes
57,female,6,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,11928,no,yes,no
41,non-binary,9,YouTube,Travel,United States,Rural,Student,17743,yes,yes,no
20,male,6,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,18540,yes,yes,no
39,male,8,Instagram,Travel,United States,Sub_Urban,Student,14732,yes,yes,no
19,female,7,Instagram,Sports,United Kingdom,Rural,Marketer Manager,11017,no,yes,yes
41,female,9,Facebook,Sports,United States,Sub_Urban,Student,12226,no,no,no
61,female,4,Facebook,Sports,United States,Urban,Marketer Manager,17206,no,no,no
47,male,2,Instagram,Sports,United Kingdom,Rural,Software Engineer,17170,no,no,yes
55,non-binary,7,YouTube,Travel,Australia,Urban,Student,16207,yes,no,yes
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,12419,yes,yes,yes
38,female,1,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16240,yes,yes,yes
50,non-binary,9,Instagram,Sports,United Kingdom,Rural,Software Engineer,11893,yes,no,no
29,non-binary,9,Facebook,Travel,Australia,Rural,Student,15322,yes,no,yes
39,male,2,Instagram,Lifestlye,Australia,Urban,Software Engineer,17718,yes,no,no
61,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,16878,yes,no,no
42,male,5,YouTube,Travel,Australia,Urban,Software Engineer,11125,yes,no,yes
44,non-binary,5,YouTube,Sports,Australia,Sub_Urban,Software Engineer,13117,no,no,yes
59,male,1,Facebook,Sports,United States,Urban,Marketer Manager,14161,no,no,yes
45,male,8,Facebook,Lifestlye,United States,Rural,Software Engineer,14042,yes,no,yes
33,female,8,Instagram,Lifestlye,United States,Urban,Software Engineer,14433,no,yes,yes
32,female,4,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,18638,yes,yes,yes
64,non-binary,7,Instagram,Lifestlye,Australia,Sub_Urban,Software Engineer,12658,yes,yes,no
61,male,3,Instagram,Travel,United States,Rural,Marketer Manager,13483,no,yes,no
20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,12944,yes,no,no
54,male,9,YouTube,Lifestlye,United States,Urban,Marketer Manager,17210,yes,yes,no
24,non-binary,1,Instagram,Lifestlye,United States,Rural,Software Engineer,17653,yes,no,yes
38,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,18787,yes,yes,yes
26,female,4,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,11986,yes,no,no
56,female,8,Instagram,Sports,Australia,Urban,Software Engineer,11074,yes,no,no
35,female,1,Instagram,Lifestlye,Australia,Urban,Marketer Manager,14305,yes,yes,no
21,male,9,Instagram,Travel,United States,Rural,Marketer Manager,13007,no,yes,yes
42,male,6,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,10969,no,no,yes
31,female,4,Instagram,Travel,United Kingdom,Urban,Student,18772,yes,no,yes
26,male,9,Facebook,Travel,Australia,Rural,Software Engineer,12824,no,no,no
43,female,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,11211,yes,yes,no
19,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10229,yes,yes,yes
37,female,5,YouTube,Lifestlye,United States,Rural,Student,14284,yes,no,yes
45,non-binary,1,YouTube,Lifestlye,United Kingdom,Rural,Software Engineer,13185,yes,yes,no
64,male,1,Facebook,Travel,United States,Urban,Marketer Manager,10501,no,no,no
24,female,8,Facebook,Sports,United States,Sub_Urban,Software Engineer,10048,no,yes,yes
61,male,8,YouTube,Travel,United States,Sub_Urban,Software Engineer,13566,no,yes,no
25,non-binary,6,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,13055,no,yes,yes
64,non-binary,4,Instagram,Lifestlye,United States,Rural,Marketer Manager,18880,yes,yes,yes
52,non-binary,2,YouTube,Travel,United Kingdom,Urban,Software Engineer,10386,no,yes,no
31,male,2,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,10969,yes,no,no
